"D","V","js","s","Vmin","is_transition","Vf"
10,10,5,11,9.375,TRUE,10
15,10,5,11,9.375,TRUE,10
20,10,5,11,9.375,TRUE,10
10,20,5,11,9.375,TRUE,20
15,20,5,11,9.375,TRUE,20
20,20,5,11,9.375,TRUE,20
10,30,5,11,9.375,TRUE,30
15,30,5,11,9.375,TRUE,30
20,30,5,11,9.375,TRUE,30
10,40,5,11,9.375,TRUE,40
15,40,5,11,9.375,TRUE,40
20,40,5,11,9.375,TRUE,40
10,10,6,11,12.5,FALSE,13
15,10,6,11,12.5,FALSE,13
20,10,6,11,12.5,FALSE,13
10,20,6,11,12.5,TRUE,20
15,20,6,11,12.5,TRUE,20
20,20,6,11,12.5,TRUE,20
10,30,6,11,12.5,TRUE,30
15,30,6,11,12.5,TRUE,30
20,30,6,11,12.5,TRUE,30
10,40,6,11,12.5,TRUE,40
15,40,6,11,12.5,TRUE,40
20,40,6,11,12.5,TRUE,40
10,10,7,11,16.25,FALSE,17
15,10,7,11,16.25,FALSE,17
20,10,7,11,16.25,FALSE,17
10,20,7,11,16.25,TRUE,20
15,20,7,11,16.25,TRUE,20
20,20,7,11,16.25,TRUE,20
10,30,7,11,16.25,TRUE,30
15,30,7,11,16.25,TRUE,30
20,30,7,11,16.25,TRUE,30
10,40,7,11,16.25,TRUE,40
15,40,7,11,16.25,TRUE,40
20,40,7,11,16.25,TRUE,40
10,10,8,11,20.625,FALSE,21
15,10,8,11,20.625,FALSE,21
20,10,8,11,20.625,FALSE,21
10,20,8,11,20.625,FALSE,21
15,20,8,11,20.625,FALSE,21
20,20,8,11,20.625,FALSE,21
10,30,8,11,20.625,TRUE,30
15,30,8,11,20.625,TRUE,30
20,30,8,11,20.625,TRUE,30
10,40,8,11,20.625,TRUE,40
15,40,8,11,20.625,TRUE,40
20,40,8,11,20.625,TRUE,40
10,10,9,11,25.625,FALSE,26
15,10,9,11,25.625,FALSE,26
20,10,9,11,25.625,FALSE,26
10,20,9,11,25.625,FALSE,26
15,20,9,11,25.625,FALSE,26
20,20,9,11,25.625,FALSE,26
10,30,9,11,25.625,TRUE,30
15,30,9,11,25.625,TRUE,30
20,30,9,11,25.625,TRUE,30
10,40,9,11,25.625,TRUE,40
15,40,9,11,25.625,TRUE,40
20,40,9,11,25.625,TRUE,40
15,10,10,11,30.625,FALSE,31
20,10,10,11,30.625,FALSE,31
15,20,10,11,30.625,FALSE,31
20,20,10,11,30.625,FALSE,31
15,30,10,11,30.625,FALSE,31
20,30,10,11,30.625,FALSE,31
15,40,10,11,30.625,TRUE,40
20,40,10,11,30.625,TRUE,40
